Efficient,Modbus TCP register mapping file with minimal gaps between registers (64 bit Max size),,,,,,,,,,
,,,,,,,,,,,
Dev_Name,Manufacturer,Dev_Type,Dev_Protocol,Template Name,Total_EDS_Parameters,,,,,,
,,,,,,,,,,,
3C - Magnum PXR 20/25,Eaton,Protection,,,143,,,,,,
,Category,Modbus TCP Register (1-based),Description,Register Count,Type ID,Units,Writable,Possible Values,,Data Trendable,Function Code
,Operations,1014,Short Delay,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1015,High Load,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1016,Making Curr Release,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1017,Fixed Inst,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1018,Setpoints Err,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1019,Over Temp,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1020,Neutral,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1021,Gnd Fault Alm,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1022,Earth Fault,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1023,Calibration,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1024,Real-Time Clock,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1025,Brkr Mech Fault,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1026,Non-Volatile Memory Failure,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1027,Watchdog,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1028,Battery Low Voltage Alarm,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1029,Digital Bypass,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1030,Motor Alarm,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1031,Maint Mode,1,BOOL,,No,False(0);True(1);,,No,01 or 02
,Operations,1032,Comm Status,1,BOOL,,No,Not Commissioned(0);Commissioned(1);,,No,01 or 02
,Command,45000,Reset Trip,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45001,Reset Power-up Indicator,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45002,Reset Peak Demand Watts,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45003,Reset Energy,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45004,Reset Operations Count,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45005,Reset Runtime,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45006,Reset All Min/Max Values,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45007,Reset Min/Max Current,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45008,Reset Min/Max L-L Voltages,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45009,Reset Min/Max L-N Voltages,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45010,Reset Trip Count,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45011,ARMS On,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45012,ARMS Off,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45013,Commission PXR Communications,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45014,Open Breaker,1,BOOL,,Yes,True(1),,No,05 or 0F
,Command,45015,Close Breaker,1,BOOL,,Yes,True(1),,No,05 or 0F
